Variant,Params,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
V6: Feature Randomness,"n_estimators=300, max_features='sqrt'",0.4975639443256908,0.005968032512695424,0.3307715444622946,0.002345314606932281,0.8144549194099963,0.006278326698314275
V8: Systematic Search,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_samples': 0.8, 'max_features': 'log2', 'max_depth': None}",0.5053047189161617,0.006609880691217789,0.33762620564732615,0.0029392390382688297,0.8086195933585593,0.0070867618426055
V8: Systematic Search,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_samples': 0.8, 'max_features': 'log2', 'max_depth': None}",0.5053047189161617,0.006609880691217789,0.33762620564732615,0.002939239038268809,0.8086195933585593,0.007086761842605539
V2: More Trees,n_estimators=300,0.5065013356002339,0.007350349745592374,0.33131126839003316,0.004571947059039042,0.8076340083852409,0.009159237447477531
V1: Baseline,n_estimators=100,0.5079946737010643,0.007112565623493639,0.3325023461813702,0.004646290634281818,0.806507861303418,0.008967314065809261
V7: Bootstrap Subsampling,"n_estimators=300, max_samples=0.7",0.5117330592851778,0.007444639713467251,0.33636892129939233,0.004874689760413508,0.8036553214385869,0.009003727343097635
V4: Leaf-Size Regularization,"n_estimators=200, min_samples_leaf=5",0.5134397330493423,0.007140266548630779,0.33581914615570263,0.004920259948009554,0.8023493011681847,0.008857320322920926
V5: Stronger Leaf+Split Regularization,"n_estimators=300, min_samples_leaf=10, min_samples_split=10",0.527866178879254,0.0065673309805519475,0.34798098213151507,0.0049006753711287356,0.7910986549414619,0.008918130022488494
V3: Depth Regularization,"n_estimators=200, max_depth=10",0.5410065370989191,0.007310781707651172,0.3662339474192048,0.004977800974733185,0.7805689084528706,0.009475933663329918
